city,population,lat,lng
Houston,6046392,29.786,-95.3885
Dallas,5843632,32.7935,-96.7667
San Antonio,2069843,29.4632,-98.5238
Austin,1915031,30.3005,-97.7522
Fort Worth,941311,32.7817,-97.3474
El Paso,862494,31.8476,-106.43
McAllen,810034,26.2252,-98.2467
Denton,455152,33.2175,-97.1418
Arlington,394769,32.6998,-97.125
Corpus Christi,339432,27.7254,-97.3767
Plano,287339,33.0502,-96.7486
Lubbock,283024,33.5657,-101.8879
Killeen,261099,31.0753,-97.7297
Laredo,255949,27.5625,-99.4874
Irving,255036,32.8583,-96.9702
Garland,245298,32.91,-96.6304
Brownsville,223416,25.9975,-97.458
College Station,215768,30.5852,-96.2959
Frisco,210238,33.156,-96.8216
Amarillo,205100,35.1984,-101.8316
Galveston,202810,29.2484,-94.8913
McKinney,202314,33.2016,-96.667
Grand Prairie,198564,32.6871,-97.0208
Waco,197594,31.5599,-97.1882
Odessa,162648,31.8801,-102.3448
Pasadena,149345,29.6575,-95.1498
Mesquite,148848,32.7602,-96.5865
Beaumont,146554,30.0849,-94.1451
Midland,143714,32.0243,-102.1147
Carrollton,132741,32.989,-96.8999
Tyler,131037,32.3184,-95.3062
Lewisville,128313,33.0454,-96.9815
Abilene,127130,32.4543,-99.7384
Pearland,125983,29.5581,-95.3218
Round Rock,124288,30.527,-97.6642
Temple,123932,31.1068,-97.3891
Richardson,118269,32.9716,-96.7093
The Woodlands,116916,30.1738,-95.5134
Harlingen,115767,26.1916,-97.6977
League City,114885,29.4874,-95.1087
Port Arthur,114860,29.8554,-93.9264
Longview,112687,32.5193,-94.7622
Sugar Land,109735,29.5935,-95.6358
Allen,107684,33.1088,-96.6735
Edinburg,102561,26.3196,-98.1597
Wichita Falls,102558,33.9072,-98.5291
San Angelo,99507,31.4424,-100.4504
New Braunfels,98700,29.6994,-98.1148
Conroe,96976,30.3238,-95.4824
Atascocita,93926,29.9777,-95.1953
Mission,86234,26.2039,-98.3256
Bryan,86169,30.665,-96.3807
Baytown,84538,29.7587,-94.9671
Pharr,79809,26.1685,-98.1904
Georgetown,78803,30.666,-97.6966
Texarkana,78541,33.45,-94.0847
Flower Mound,77886,33.0343,-97.1146
Cedar Park,77474,30.5105,-97.8197
Mansfield,75398,32.569,-97.1213
Missouri City,75234,29.563,-95.5365
San Marcos,74469,29.8734,-97.9356
Sherman,73984,33.6273,-96.6221
North Richland Hills,70338,32.8604,-97.218
Leander,67880,30.5728,-97.8618
Spring,67103,30.0613,-95.383
Victoria,66523,28.8287,-96.9849
Pflugerville,65162,30.4515,-97.6018
Rowlett,64139,32.9155,-96.5489
Euless,60373,32.8508,-97.08
Wylie,58991,33.0362,-96.5161
DeSoto,55896,32.5992,-96.8633
Texas City,54159,29.4154,-94.9682
Kyle,52439,29.9932,-97.8852
Little Elm,51426,33.1858,-96.9295
Burleson,50981,32.517,-97.3344
Grapevine,50875,32.9343,-97.0742
Rockwall,49605,32.9169,-96.4374
Bedford,49191,32.8464,-97.135
Cedar Hill,48547,32.581,-96.9591
Huntsville,46917,30.7009,-95.5567
Haltom City,45681,32.8176,-97.2707
Keller,45598,32.9335,-97.2256
The Colony,44916,33.0925,-96.8976
Waxahachie,43591,32.4035,-96.8446
Channelview,43536,29.7914,-95.1144
Schertz,43128,29.565,-98.2535
Coppell,42029,32.9639,-96.9903
Weslaco,41437,26.1599,-97.9877
Friendswood,40827,29.511,-95.1981
Lancaster,40753,32.5922,-96.7739
Hurst,39912,32.8353,-97.1809
Duncanville,39879,32.646,-96.9127
Rosenberg,39467,29.5456,-95.8223
Mission Bend,37280,29.6948,-95.6658
Midlothian,37256,32.4669,-96.989
Copperas Cove,37149,31.1192,-97.914
Farmers Branch,36254,32.9272,-96.8804
Socorro,36237,31.6383,-106.2601
La Porte,36077,29.6689,-95.0484
San Juan,35674,26.1903,-98.152
Timberwood Park,34980,29.6995,-98.4838
Del Rio,34638,29.3708,-100.8801
Prosper,34567,33.2394,-96.8087
Lufkin,34158,31.3217,-94.7277
Weatherford,33924,32.7536,-97.7723
Cibolo,33829,29.5634,-98.2115
Deer Park,33823,29.6898,-95.1151
Harker Heights,33595,31.0572,-97.6446
Cleburne,32966,32.3568,-97.4151
Canyon Lake,32924,29.8761,-98.2611
Hutto,32188,30.5396,-97.544
Nacogdoches,32104,31.6134,-94.6528
West Odessa,31985,31.8389,-102.5003
Seguin,31789,29.5891,-97.9676
Southlake,31044,32.9545,-97.1503
Greenville,29936,33.1116,-96.1099
Sachse,29075,32.9726,-96.5793
Converse,28764,29.5091,-98.3084
Forney,28222,32.744,-96.4529
Eagle Pass,28186,28.7125,-100.484
Lake Jackson,27902,29.0516,-95.4521
Alvin,27700,29.3872,-95.2938
Balch Springs,27181,32.7194,-96.6151
Celina,27141,33.3154,-96.7941
Fulshear,26986,29.693,-95.8804
Colleyville,25906,32.8913,-97.1486
Fort Hood,25786,31.1357,-97.7834
Denison,25347,33.7672,-96.5808
Corsicana,25344,32.0824,-96.4665
University Park,25104,32.8506,-96.7937
Kingsville,25061,27.5094,-97.861
Pecan Grove,24798,29.6235,-95.733
Big Spring,24769,32.2389,-101.4799
Paris,24678,33.6688,-95.546
San Benito,24677,26.1298,-97.644
Cloverleaf,24630,29.7882,-95.1724
Kerrville,24532,30.0398,-99.132
Saginaw,24467,32.8657,-97.3654
Benbrook,24430,32.6788,-97.4637
Fresno,24087,29.5357,-95.4696
Katy,23900,29.7905,-95.8353
Belton,23769,31.0525,-97.479
Marshall,23646,32.537,-94.3515
Watauga,23336,32.8719,-97.2515
Horizon City,23069,31.6799,-106.1903
Corinth,22868,33.1434,-97.0682
Dickinson,21612,29.4548,-95.0589
Ennis,21546,32.3254,-96.6347
Stephenville,21345,32.2147,-98.2205
Murphy,21001,33.0186,-96.6105
Anna,20975,33.3472,-96.5508
Princeton,20966,33.1778,-96.5044
Brushy Creek,20953,30.5128,-97.7386
Fate,20757,32.943,-96.3858
Portland,20369,27.8942,-97.3278
Alamo,20008,26.181,-98.1177
Plainview,19893,34.1911,-101.7235
Universal City,19853,29.5521,-98.3074
Angleton,19597,29.1721,-95.4293
Boerne,19509,29.7847,-98.7292
Alton,19205,26.2884,-98.3098
Orange,19178,30.1226,-93.7607
Cinco Ranch,19139,29.7395,-95.7607
Lakeway,19130,30.3544,-97.9864
Terrell,19019,32.734,-96.2931
Crowley,19007,32.5781,-97.3585
Seagoville,18968,32.653,-96.5456
Palestine,18888,31.7544,-95.6471
La Marque,18833,29.3683,-94.9941
Brownwood,18805,31.7127,-98.9767
Steiner Ranch,18683,30.3654,-97.896
Nederland,18475,29.9707,-94.0015
White Settlement,18119,32.7554,-97.4605
Brenham,18086,30.1584,-96.3966
Bay City,17816,28.9838,-95.9601
Alice,17797,27.7556,-98.0653
Gainesville,17688,33.639,-97.1487
Melissa,17497,33.2891,-96.5573
Royse City,17357,32.9762,-96.3175
Stafford,17279,29.6271,-95.5654
Glenn Heights,17175,32.5506,-96.8548
Addison,17128,32.959,-96.8355
Bellaire,17116,29.704,-95.4621
Groves,17021,29.9457,-93.9164
Manor,16917,30.3562,-97.5227
Donna,16774,26.1468,-98.0559
Taylor,16767,30.5729,-97.4268
Pampa,16735,35.5479,-100.9651
Humble,16489,29.9921,-95.2655
Mercedes,16449,26.1533,-97.9128
Hewitt,16244,31.452,-97.196
Sulphur Springs,16185,33.1421,-95.6122
Mount Pleasant,16061,33.1586,-94.9727
Gatesville,16058,31.4445,-97.7317
South Houston,16017,29.6611,-95.2285
Highland Village,16004,33.0897,-97.0615
Red Oak,15909,32.5212,-96.7866
Rendon,15894,32.5789,-97.2349
Live Oak,15875,29.5545,-98.3404
Palmview,15650,26.2318,-98.3823
Buda,15487,30.0758,-97.8487
Aldine,15434,29.9123,-95.3784
Canyon,15398,34.9911,-101.919
Uvalde,15344,29.2152,-99.7782
Rio Grande City,15258,26.3808,-98.8215
Mineral Wells,15130,32.8169,-98.0776
West University Place,14907,29.7157,-95.4321
Hereford,14874,34.8225,-102.4001
Lockhart,14708,29.8785,-97.6831
Dumas,14362,35.8613,-101.9642
Hidalgo,14250,26.109,-98.2464
Jacksonville,14186,31.9642,-95.2617
Wells Branch,14156,30.4433,-97.679
Forest Hill,13923,32.6619,-97.2662
Lumberton,13803,30.2562,-94.207
Azle,13734,32.8955,-97.5379
Port Neches,13627,29.9765,-93.9459
Seabrook,13617,29.5751,-95.0235
Beeville,13518,28.4053,-97.749
Trophy Club,13454,33.004,-97.1899
Kilgore,13444,32.398,-94.8602
Andrews,13416,32.3207,-102.552
Henderson,13348,32.1576,-94.796
Tomball,13032,30.0951,-95.6194
Athens,13013,32.2041,-95.8321
Manvel,12873,29.4798,-95.3635
Santa Fe,12828,29.3889,-95.1003
Robinson,12668,31.4501,-97.1201
Lantana,12583,33.0926,-97.1214
Levelland,12565,33.5806,-102.3635
Borger,12398,35.6598,-101.4012
Webster,12283,29.5317,-95.1188
El Campo,12220,29.2,-96.2723
Richmond,12117,29.5824,-95.7563
Hornsby Bend,12021,30.2388,-97.5899
Fort Bliss,12009,31.8396,-106.3747
Granbury,11665,32.4475,-97.7702
Roma,11543,26.4166,-99.0061
Four Corners,11490,29.6705,-95.6596
Leon Valley,11479,29.4954,-98.6143
Port Lavaca,11410,28.6181,-96.6278
La Homa,11389,26.2796,-98.3575
Snyder,11310,32.7133,-100.9116
Selma,11302,29.5866,-98.3132
Fredericksburg,11254,30.266,-98.8751
Iowa Colony,11028,29.4407,-95.4206
Heartland,11019,32.6748,-96.4515
Burkburnett,11012,34.0746,-98.5672
Elgin,10996,30.3526,-97.3883
Pleasanton,10854,28.9642,-98.4957
Scenic Oaks,10727,29.7038,-98.6712
Clute,10650,29.0256,-95.3975
Freeport,10639,28.9453,-95.3601
Fair Oaks Ranch,10630,29.7467,-98.6376
Bonham,10594,33.588,-96.1901
Fairview,10570,33.1399,-96.6117
